4.875	1994	9.5	肖申克的救赎(318)
4.732	1980	8.7	谁在那儿歌唱？(5194)
4.718	1993	9.3	辛德勒的名单(527)
4.700	1995	8.5	非常嫌疑犯(50)
4.688	2006	9.0	窃听风暴(44555)
4.676	1954	8.3	后窗(904)
4.644	1999	8.7	黑客帝国(2571)
4.641	1981	7.8	夺宝奇兵(1198)
4.631	1934	7.7	瘦子(950)
4.604	1985	8.3	蒲公英(3819)
4.603	1980	8.2	星球大战2：帝国反击战(1196)
4.594	1995	8.8	超级无敌掌门狗：剃刀边缘(745)
4.592	1985	9.0	浩劫(6896)
4.591	1959	8.1	西北偏北(908)
4.589	1946	7.2	平步青云(8516)
4.581	1949	8.1	第三人(1212)
4.578	1961	8.6	用心棒(3030)
4.575	1969	8.3	悲哀和怜悯(32853)
4.574	1997	9.4	美丽人生(2324)
4.571	2002	8.9	上帝之城(6016)
4.566	1972	9.2	教父(858)
4.562	1999	9.1	搏击俱乐部(2959)
4.561	1977	8.2	星球大战(260)
4.558	1991	8.6	沉默的羔羊(593)
4.556	1955	8.7	大地之歌(668)
4.552	1989	NaN	None(1172)
4.550	1949	8.4	仁心与冠冕(6650)
4.542	1998	8.5	美国X档案(2329)
4.542	1957	9.3	十二怒汉(1203)
4.541	2003	9.0	指环王3：王者无敌(7153)
4.538	1973	8.6	骗中骗(1234)
4.537	1959	8.8	大树之歌(670)
4.536	1951	7.8	火车怪客(2186)
4.535	1957	8.6	光荣之路(1178)
4.531	1989	NaN	None(1218)
4.529	2008	8.0	对话尼克松(64620)
4.529	1975	7.5	国王迷(1303)
4.528	2001	8.8	天使爱美丽(4973)
4.527	1975	9.0	飞越疯人院(1193)
4.522	1958	8.5	迷魂记(903)
4.519	1931	8.3	M就是凶手(1260)
4.519	1998	0.0	亡命煞星(3077)
4.518	1942	8.6	卡萨布兰卡(912)
4.514	2001	8.8	指环王1：魔戒再现(4993)
4.514	1974	9.0	教父2(1221)
4.513	1988	NaN	None(26614)
4.513	2000	8.5	记忆碎片(4226)
4.513	2002	8.8	指环王2：双塔奇兵(5952)
4.511	1998	8.5	黑猫白猫(2843)
4.510	1999	8.7	第六感(2762)
4.507	1933	7.1	鸭羹(1256)
4.505	1954	9.1	七武士(2019)
4.503	1964	8.7	奇爱博士(750)
4.499	1995	8.7	勇敢的心(110)
4.499	1993	8.8	超级无敌掌门狗：引鹅入室(1148)
4.497	1948	7.9	盖世枭雄(3334)
4.491	1987	6.7	公主新娘(1197)
4.491	1946	7.4	夜长梦多(1284)
4.490	1956	8.4	杀手(2726)
4.488	1946	7.6	吉尔达(2940)
4.488	1953	8.9	罗马假日(916)
4.487	1987	9.1	种树的牧羊人(32657)
4.486	1956	8.8	死囚越狱(8684)
4.485	1958	8.3	历劫佳人(1248)
4.480	1986	8.4	不法之徒(1273)
4.479	2003	9.3	灿烂人生(7767)
4.477	1940	7.5	费城故事(898)
4.476	1979	NaN	None(7762)
4.476	1934	8.5	一夜风流(905)
4.476	1985	8.6	乱(1217)
4.475	2001	9.0	千与千寻(5618)
4.475	1989	8.5	超级无敌掌门狗：月球野餐记(1223)
4.473	1976	8.4	惊恐、污秽、邪恶(33451)
4.472	1955	8.4	词语(6981)
4.471	1988	9.1	龙猫(5971)
4.470	1992	NaN	None(3265)
4.469	1962	NaN	None(32892)
4.469	1981	8.9	从海底出击(1233)
4.468	1940	8.0	女友礼拜五(951)
4.467	1991	8.0	大红灯笼高高挂(1280)
4.467	1975	8.0	巨蟒与圣杯(1136)
4.467	1995	9.2	地下(665)
4.465	1994	8.7	暴雨将至(214)
4.463	1941	7.6	马耳他之鹰(913)
4.463	1998	8.5	更多(4454)
4.463	1943	7.5	辣手摧花(2203)
4.462	1963	8.3	大逃亡(1262)
4.461	1977	8.2	特殊的一天(32649)
4.460	1946	7.8	美人计(930)
4.460	2008	9.3	机器人总动员(60069)
4.459	1957	9.4	控方证人(5008)
4.459	1998	8.7	拯救大兵瑞恩(2028)
4.458	1941	7.7	淑女伊芙(2935)
4.458	2001	7.4	死亡幻觉(4878)
4.458	2008	7.5	钢铁侠(59315)
4.457	1957	8.1	登龙一梦(3038)
4.457	1973	8.8	婚姻生活(7396)
4.456	1990	8.7	信任(1236)
4.455	1940	8.2	蝴蝶梦(928)
4.455	1954	8.5	电话谋杀案(1086)
4.454	1957	NaN	None(6918)
4.451	1963	8.2	野百合(4187)
4.450	2003	NaN	None(31903)
4.448	1969	8.0	傻瓜入狱记(1963)
4.447	2003	7.9	战争迷雾(7156)
4.446	1942	7.1	棕榈滩的故事(2937)
4.444	1944	8.5	双重赔偿(3435)
4.444	1994	9.3	阿甘正传(356)
4.443	1944	8.0	罗拉秘史(942)
4.443	1988	0.0	亲蜜敌人(5690)
4.443	1944	7.6	毒药与老妇(1269)
4.441	1966	9.1	黄金三镖客(1201)
4.441	1952	8.9	雨中曲(899)
4.440	1999	8.3	美国丽人(2858)
4.439	1961	7.7	江湖浪子(3468)
4.439	1990	8.3	好家伙(1213)
4.438	1995	8.1	以祖国之名(632)
4.438	1957	8.3	第七封印(1237)
4.438	1938	8.0	贵妇失踪记(2208)
4.436	1962	8.3	杀死一只知更鸟(1207)
4.436	1994	8.7	蓝白红三部曲之红(306)
4.435	1996	7.5	当我们是拳王的日子(1147)
4.433	2004	0.0	The Puppeteer(27815)
4.433	1960	8.3	风的传人(3469)
4.433	1966	8.7	假面(7327)
4.433	1986	7.8	甘泉玛侬(1132)
4.430	1983	8.1	星球大战3：绝地归来(1210)
4.430	1931	0.0	枭巢喋血战(8228)
4.429	1935	8.1	礼帽(945)
4.429	1961	8.9	人间的条件（第五、六部）(26073)
4.429	1959	8.5	人间的条件（第一、二部）(26048)
4.428	1961	NaN	None(2732)
4.427	1980	8.8	影子武士(3091)
4.425	2002	8.9	钢琴家(5995)
4.424	1966	7.8	日月精忠(1949)
4.423	1962	0.0	Requiem for a Heavyweight(5398)
4.422	1982	8.0	银翼杀手(541)
4.421	1989	8.1	夺宝奇兵3(1291)
4.421	2006	7.0	无间道风云(48516)
4.420	1989	8.1	衣食住行(3429)
4.420	1993	7.8	亡命天涯(457)
4.418	1990	8.5	父亲的荣耀(5839)
4.417	1988	8.1	细细的蓝线(1189)
4.415	1984	0.0	小警察，皮诺(3683)
4.415	1986	8.7	面向东南方的男人(2938)
4.414	1964	8.2	五月中的七天(3634)
4.413	1959	8.7	四百击(2731)
4.413	1987	8.1	红高粱(2972)
4.413	1967	7.7	盲女惊魂记(6639)
4.413	1955	8.6	男人的争斗(4298)
4.413	1963	7.9	谜中谜(911)
